Instructor,RMP_Rating,RMP_Review1,RMP_Review2,RMP_Review3
"J. French
J. French",4.4,"French really cares about his students and will go out of his way to help anyone who asks for it. He was able to make a challenging course simple and has a great grading scale that allows you to still achieve high grades if you get C averages on exams. He encourages participation, and posts lectures so you can review whatever you missed in class.",Explains things clear and simple. Lots of homework. A great and funny professor who is great at chem.,AMAZING. If you do all the work given you will succeed in the class. Very understanding and nice. He is funny and makes the class engaging. If you have to take chem choose FRENCH!!!
W. Zheng,3.4,"Overall you can tell he is very knowledgeable about the topics and cares about the material. It is very test heavy, but tests mirror homework rather closely, making studying straightforward. Vyer interesting material.","He's super nice and his power points are pretty good, but his class is super test heavy which makes it hard to get a good grade if you aren't a good test taker.","Professor Zheng's slides are clear, and his study plans would prepare you well with the exam."
D. Das,5.0,"I don't know if he is still teaching, I took him in 2013 and he was a GREAT professor, he teaches you life lessons that you won't forget, he is amazing and makes you exit that class after every lecture thinking that you are a great person and you can do great things in life, hope he is still teaching. ALL respect to this professor","Am one of those that are very shy when it comes to public speaking,D Mann gave me the courage and confident to stand and speak in public. He makes you understand that no one is perfect; that we are all here to learn. Take him, you will be glad you did!!!",
N. Totah,2.6,"Super nice lady and definitely understands how hard orgo is... but with that being said she doesn't really do much to help. Goes super fast in lectures, not the most helpful in office hours, and your only grades are exams and homework, so it's hard to do well. Lecture/recitation aren't mandatory but it's impossible to keep up if you don't go","I think the school should revaluate its tenured professors. The practice exams are useless. If you use them, she doesn't release the answers so you may not know if you're correct or not. How are we suppose to learn if we don't even know what our mistakes were. Lectures are straight up read off the slides. Go to recitation, TAs are better.","Totah is ones of the best Chemistry Professors here at Syracuse, especially for organic chemistry. Organic chemistry is hard, so be expected to have to study reactions and other major concepts outside of class (use the textbook!!). Her lectures are nice, especially since she walks you through the process of a lot of the reactions."
C. Castaneda,2.8,"Professor Castaneda did a great job keeping the class engaged: the PyMOL assignments, playposits, and group work were amazing learning opportunities. He writes notes and makes important commentary in class that will be tested in the exams so go to class.",Dr. Castaneda is a great professor who really cares about his students and responds well to feedback. He's always very involved and enthusiastic during class and I really enjoyed going to his lectures. He also gives group work assignments and PyMOL homeworks which are helpful to improve your grade. Overall I think he's an excellent professor.,"I agree that his exams are misleading compared to what he emphasizes in class, but Biochem isn't a hard enough class where that should matter; if you know the material the way you are supposed to versus memorizing everything it doesn't matter what is or isn't on the exams. He listens to student concerns and addresses them appropriately."
K. Ruhlandt,3.3,"She taught way too slow. The tests and information is easy, but she is a little intimidating at first. She was sweet, but a little moody. All right class.",wonderful teacher!!! very helpful class!,"Not too bad. class is really hard if you hadn't done chemistry, but it is do able if you study a lot. She goes pretty fast, but she is very helpful if you go to office hours before a test."
J. Hougland,4.3,"Make sure to get the solutions manual. The only way you will do well in this class is if you do the recitation problems AND the textbook problems. Other than that, the homework is an automatic 100 and the exams are curved heavily. Hougland is also a good professor.","Getting a good grade in this class is definitely doable if you put in the work. Go to class and recitation, go to his office hours, and most importantly read the book. Do all the practice problems in the book and work through the recitation examples. Hougland is really approachable if you have any questions so take advantage of it","He's a very nice and entertaining guy who understands how hard the class is. Hopefully you get a good TA for recitation THAT YOU SHOULD REALLY GO TO. Don't buy the whole textbook package, just get the homework code and you'll be fine (comes with ebook). Homework is an easy 100, and if you study really hard, you'll be fine."
J. Chisholm,2.6,"Being in Orgo II, I miss Professor Chisholm. Yeah, his class was hard, but it's Organic Chemistry, it's not meant to be easy. His teaching style was much more understandable then whatever is currently happening in Orgo II. He is a king! You slay!",Lectures are just boring and it is a hard class in general. Only grades are a few homework assignments and exams so study a lot for the exams. The exams are very similar to the practice exams and they are pretty fair.,"Don't get me wrong, Professor Chisholm is very educated on the topic but teaches as if Organic Chemistry is common sense. He goes pretty fast during lectures and just reads his slides out. Going to lecture is kind of useless as you won't learn anything from it, you have to learn the topics on your own. Your whole grade is practically exams."
D. Mozhdehi,3.3,"Professor Mozhdehi is the GOAT, he taught me Proteins and Nucleic Acids and the class was fantastic, I think he is very passionate about the topic.","I took his graduate-level lab class. I really liked that he cared that students improved at the end of the day. He taught me how to write proper elaborate lab reports and it was tough at first but I improved over time. In the end, I would take his class again; you will learn so much from his lab class that you can apply in any science course.","confusing in teaching. arrogant and rude, in his office hours. exams are hard but typically this is hard course no matter who you take with. the only good thing about his class is that he curves the grades some. without curve average is 50-60."
R. Steinhardt,4.4,"She makes orgo very understandable, which is a difficult task.","I was failing orgo 1. I ended orgo 1 with C. But in orgo 2 with Steinhardt OMG she actually helped me to understand what was going on. I was able to explain reaction to friends. We would of practice questions in class together, you can always stop her with questions. She is amazin.","She is definitely the funniest professor I've ever had. Her tests have a tendency to be very similar to her practice exams, so make sure to study those before each exam. Overall, I thought she was a good professor with straightforward exams that made it easy to understand Ochem and do well in the class."
S. Sukenik,4.3,"She listens to your questions. she does everything she can to ensure that you understand what is being taught and takes the time to help you if you don't. Her assignments are tough but she will help and answer any questions she deems appropriate. If you pay attention, ask questions, do the work and actually try it'll be an easy A.",Professor Seale taught me a great deal over the course of my class. I believe I will be a better paralegal in the future thanks to her!,
A. Chakraborty,2.8,Fantastic professor.,"well, he's a great teacher teaching a boring subject. the first half was ok once you get the key to solve such kind of problems, but i couldn't help sleeping in the last 1/3 of the lectures. in addition he repeats important points while giving new material, you don't know when to ""have a rest""",his lectures make Ben Stein seem outgoing. Do not take this class unless it's a requirement or you absolutely love logic.
J. Hedger,4.6,"A textbook is required but you can find a free copy of it online. He's passionate about what he talks about and makes sure that you understand the material. Easy A, just take notes during discussions and show up on days he goes over the study guide. Don't be afraid to ask him anything or participate in class discussions!",Professor Hedger is my absolute favorite professor at Syracuse. His passion for philosophy is admirable and he makes complex topics easy to understand. He encourages open discussions and genuinely cares about students' success. I left every class feeling inspired. His grading is super clear and his study guides are very helpful! Highly recommend!,Professor Hedger was super kind and funny and really clear about what he wanted out of assignments and with test content/format.
S. Chen,3.0,Most boring Lecture I've taken at Syracuse and the slides don't have much information on them. Good lucking making sense of the material in this course.,"Very nice and easy grader, clearly wants everyone to do well",
E. Shumener,4.3,"She was very passionate about her class, and always stayed on topic of the subject. She is an easy professor to listen to her lectures, and I would take this class again. Some of the topics are a bit confusing. Your exams and quizzes make up your grade.","Course can be difficult if you aren't familiar with philosophy terms and arguments, there is no intro to this. Need to be able to understand very abstract ideas and write essays about them. Class is interactive and discussion based.","Uses a no-technology policy which is not enforced. However, students are expected to engage with the material which often leads to interesting discussions. There are frequent pop quizzes to test knowledge of in-class material and weekly readings. She is a very engaging professor and makes mundane topics interesting."
D. Rasmussen,5.0,"I don't know if he is still teaching, I took him in 2013 and he was a GREAT professor, he teaches you life lessons that you won't forget, he is amazing and makes you exit that class after every lecture thinking that you are a great person and you can do great things in life, hope he is still teaching. ALL respect to this professor","Am one of those that are very shy when it comes to public speaking,D Mann gave me the courage and confident to stand and speak in public. He makes you understand that no one is perfect; that we are all here to learn. Take him, you will be glad you did!!!",
C. Miller,3.1,"He is a robot who bleeds oil. He is unforgiving about absences or participation. He is not strict but more petty. His lectures will put you to sleep, and the amount of group work with the same three people was criminal.",A lot of readings and felt like more of a reading class than developing as a writer with no substantial amount of writing done but large amounts of readings and annotations.,"Miller assigns lots of reading and expects everyone to annotate like we all have English PHDs. During class, he will open discussion but only call on the same 2 people every time. He also says 1 lie during every lecture, expecting you to know what it is, so you have no idea what is and isn't true. He's a very tough grader and does not accommodate."
L. Zheng,3.4,"Overall you can tell he is very knowledgeable about the topics and cares about the material. It is very test heavy, but tests mirror homework rather closely, making studying straightforward. Vyer interesting material.","He's super nice and his power points are pretty good, but his class is super test heavy which makes it hard to get a good grade if you aren't a good test taker.","Professor Zheng's slides are clear, and his study plans would prepare you well with the exam."
D. Sobel,2.7,"Prof. Sobel is passionate about philosophy. Lectures are discussion based and are interesting if you pay attention, but can be dry at times. He gives a lot of readings and there are pop quizzes based on reading. If you miss a pop quiz with unexcused absence you will get a 0.The exams are fairly straightforward. He allows use of notes on the exams.","must attend. Be aware of pop quizes they are 35% of ur grade. Hes a nice guy and a good teacher, just show up for class.","As someone who likes guidance in the classroom, I did not enjoy Sobel's class. There are no slides or posted work to follow along with during the lecture. The 5 pop quizzes are manageable as long as you do the readings. Completion of pop quizzes counted towards attendance. I just didn't find myself excited to attend this class."
C. Bousquet,5.0,"You can get an A on most projects, as unlimited attempts are allowed. He provides great feedback for every submission. There are many assignments, but he sets long due dates so you can manage your time. He's the nicest guy, wants you to succeed, and makes classes so engaging no one wants to miss them. Take him, trust!",Truly an incredible professor - while most people dreaded going to WRT 105 - I believe that everyone in my class LOVED it because we got lucky with such an incredible teacher. He really cares about his students.,"He's hilarious, real, and super laid back. Even if you don't have academic accommodations through CDR, he allows extensions and will do his best to accommodate any needs you may have. Truly such a caring professor who only wants his students to succeed. Also very easy to reach outside of class. Take his class if you can :)"
W. Ding,4.6,"Each week you will have 7 hours of homework to do. It's not hard but very time-consuming. Every week you have to write a 150-word response to a Spanish video. For each test, you write a response too. Lots of work. Tests are easy as long as you know your tenses. He wants you to pass. Attendance is mandatory. Partner conversations every class.","I took his asynchronous SPAN 1020 class. Lots of work on Vistas, but provides further Spanish instruction in Content on D2L for extra help. There were Vistas assignments due each Tuesday and Thursday as well as a discussion post and composition due with each chapter. Everyone with an 85 and up was exempt from the final. Overall, solid choice.","He gave extra credit on every test, and you didn't have to take the final if you had an A. He is a solid choice!"
V. Nicolau Sholl De Freitas Lima,3.0,"I absolutely love Thiago. He is extremely flexible and will meet you outside of office hours if you cannot go. As long as you meet with him when you need help and show effort, you will get an A.",Very difficult. There are much more easier professors for this course.,
K. Head,4.3,"Collins is an absolutely incredible professor. I had him for two semesters in a row, and I am incredibly sad that I cannot take any more classes with him. Collins deeply cares about his material, and he wants you to care about it as well. He is a tough grader, but he always provides good feedback to improve for the next paper.","I'm a 4.0 high school student. Lost all interest in school. After 5 semesters of going through the motions, Collins gave me a reason to be excited for school. Nothing he teaches is easy to understand, nor is it compelling material. However, his knowledge and willingness to be personable is a strength. He will leave you WANTING to read more.",He best professor
A. Fraser,2.8,Fantastic professor.,"well, he's a great teacher teaching a boring subject. the first half was ok once you get the key to solve such kind of problems, but i couldn't help sleeping in the last 1/3 of the lectures. in addition he repeats important points while giving new material, you don't know when to ""have a rest""",his lectures make Ben Stein seem outgoing. Do not take this class unless it's a requirement or you absolutely love logic.
A. Freiles,2.8,Fantastic professor.,"well, he's a great teacher teaching a boring subject. the first half was ok once you get the key to solve such kind of problems, but i couldn't help sleeping in the last 1/3 of the lectures. in addition he repeats important points while giving new material, you don't know when to ""have a rest""",his lectures make Ben Stein seem outgoing. Do not take this class unless it's a requirement or you absolutely love logic.
K. Nisenbaum,2.4,"She is brilliant & amiable. Learned a lot, but this class isn't for the weak. It's theory-heavy with 4-5 complex weekly readings (20-30+ pages each), but she breaks down concepts well. Doesn't give much direction on papers. If you ever get an A, which isn't easy, it won't be higher than a 94 or 95. Lovely lady but refuses to give 100s on anything.",Horrible class and prof,"I took this class to have an easy elective. This class was strange and hard. Exams were all handwritten and lots of content. Nothing we learned made sense and she assigned so many readings. Participation matters. You also have 2 essays. I didn't come to class on occasion and I hardly spoke, but my essay & exam grades carried me to an A."
A. Zamora Buen Abad,2.8,Fantastic professor.,"well, he's a great teacher teaching a boring subject. the first half was ok once you get the key to solve such kind of problems, but i couldn't help sleeping in the last 1/3 of the lectures. in addition he repeats important points while giving new material, you don't know when to ""have a rest""",his lectures make Ben Stein seem outgoing. Do not take this class unless it's a requirement or you absolutely love logic.
M. Rozas Arceo,2.5,"Her lectures were difficult to understand and unorganized. She gives out at least 7 assignments per week and there is no rubric for them. You wouldn't know what she's looking for in your answers, like how long they should be or how much detail you need to put it until after she grades them and deducts points on your submission.","This class has been the most unorganized and confusing class Ive taken at UNF. She is a nice person but the class itself is very frustrating. Doesnt answer all emails, always changing class plans, made us buy a book only to use it once, never properly explains how were supposed to do assignments, most of class felt like a waste of time.",
P. Ryan,4.5,"one of the BEST ECN prof in SU, nice person with huge knowledge base. Dont expect the course will be easy, its a 400-level class. Mainly study in model and graph, do not require a lot of math. Study hard, the n you get A.","Super nice, passionate and knows what he's teaching. Tests are kinda hard so need to study but material isn't impossible. Grade determined by 5 HW's based on effort/completion, 3 easy writing assignments based on a podcast and 3 tests. Grading scale helps a lot (85 = A, 70 = B). It's what you'd expect of an upper level class and I would recommend.",
J. Lee,1.1,"Moon seems to have knowledge of course content, but 0 teaching ability or execution. She makes up assignments on the spot (tons of busywork) and grades harshly without ANY feedback. She makes you work really hard to understand her instructions and grading rationale, then doesn't uphold what she said. Queen of loopholes and unethical behavior.","I had her for two classes, and this one began my avoidance of her. She can't explain things, and forces you to learn the content on your own. The entire class was a group project, and the only reason why my group bonded was our mutual disdain of her. If you want to learn, avoid her and take classes with any other PR professor.","This was my second class with her, and it was as terrible as I remembered. For an ethics course, she struggled to even explain the basic ethical concepts and it took me so long to grasp. I was one of the few participants in the class, and I felt like I was forced to participate. Avoid her for your own sanity: she drove me insane twice."
K. Richardson,3.6,This professor is very strict and calls people out for the littlest things. Her lectures and readings are so confusing and everyone I know wishes they dropped this class when they had the chance.,"Prof. Richardson is a great prof, very knowledgeable and smart. Don't need to buy books, readings were on Blackboard or easily accessible on Google. Only need to submit five 1-2 page assignments out of the ten possible. She gives you the 3 tests a week beforehand, so you should go into the tests completely prepared. You learn from the lectures.","Presents ideas clearly and from both sides. Do NOT use phones in class, docks half letter grades after being caught twice. Gives exactly what's going to be on the midterm and final beforehand. Lectures are pretty straightforward to the point where you rarely need to read the assignments."
M. Rieppel,3.7,Class was easy. Only two quizzes.,Decent lecturer. All lectures are just reading off slides. Is good at clearly explaining philosophy concepts. Attendance is taken randomly via QR Code at end of class.,"really nice guy teaching really hard stuff. sometimes it doesn't translate, but he is always accessible for questions. not doing the readings will mean a hard time for you in the classroom."
S. Alvarez,4.9,I really liked this class and would recommend it to anyone who's planning to take an English 110 class. This professor is really nice and enthusiastic about what he teaches.,Brilliant! He knows his stuff and it translates well through his engaging (and funny) lectures. The workload is quite heavy but worth it in the end. You'll learn a lot. Yay!,"He is a great professor, very down to earth. There are 3 essays that are very easy. If you go to class everytime and pay attention, you will do fine. There is reading from the textbook, but I found the reading interesting and not boring. He is a nice, normal, and fun professor who gets everyone interested in the lessons."
T. Pan,3.2,"This is probably the easiest class I am currently taking, that being said, you better not make eye contact with this man or you will be his main focus point for the rest of the semester. He cares a lot but assigns a ton of out of class readings and generates major assignments entirely with ChatGPT, not even bothering to proofread what he assigns.",He talks and talks and talks and talks,"Very nice teacher, easy class, show up to class"
J. Liebergen,4.8,LOVED THIS CLASS! My favorite class I've taken at Syracuse to date. Jared is so passionate about what he speaks on and encourages class participation. It is such an interesting class especially hearing everyone's perspectives. He gives you the exam a week before so you can prepare and know what you're being tested on. 10/10 totally recommend.,"I took PHI192. I had never taken a philosophy class before, but I did well and really liked it. Jared is awesome, super helpful- gives out test questions before the test, encourages participation, and will answer every question. He really cares. If you put in effort it's a relatively easy class, and interesting too","I took PHI 192. Super sweet guy. Goes into great detail about each topic and ensures that everyone understands. Reading assignments due every class (only need to do 10/15), 3 tests (literally gives you the test beforehand), and PARTICIPATION POINTS (he's pretty strict on participation but makes it easy for everyone to participate)."
S. Lee,1.1,"Moon seems to have knowledge of course content, but 0 teaching ability or execution. She makes up assignments on the spot (tons of busywork) and grades harshly without ANY feedback. She makes you work really hard to understand her instructions and grading rationale, then doesn't uphold what she said. Queen of loopholes and unethical behavior.","I had her for two classes, and this one began my avoidance of her. She can't explain things, and forces you to learn the content on your own. The entire class was a group project, and the only reason why my group bonded was our mutual disdain of her. If you want to learn, avoid her and take classes with any other PR professor.","This was my second class with her, and it was as terrible as I remembered. For an ethics course, she struggled to even explain the basic ethical concepts and it took me so long to grasp. I was one of the few participants in the class, and I felt like I was forced to participate. Avoid her for your own sanity: she drove me insane twice."
H. Shirmohammadi,3.0,He grades everything and gives you feedback on what you got wrong and can fix. He uploads all the answer keys online after he grades then but you are graded on very few things.,,
W. Osborne III,4.5,"Loved her lectures, but as soon as she let other people talk they just wouldn't stop which would make classes sometimes unbearable. She is so intelligent and I wish she would just talk for the whole class because everything she says is so captivating. If you just take notes and study her study guides for exams you'll do well.","Professor Osborne is a kind, intelligent teacher. My complaint with the class is she encourages lot of student participation, which is often irrelevant, redundant, and causes us to get behind schedule. If you don't mind that though, lectures are fairly interesting. The only homework is a weekly online progress check which is a free 100%.","Kind person. She made COM 107 interesting and engaging, and was flexible. Really great professor, and she's the kind of person you want to maintain a connection with. She cares about her students. Grading: She gives the written sections of exams to the TA to grade, and that grading was a bit inconsistent. Also news quizzes - read the news! :)"
A. Harrison,2.8,Fantastic professor.,"well, he's a great teacher teaching a boring subject. the first half was ok once you get the key to solve such kind of problems, but i couldn't help sleeping in the last 1/3 of the lectures. in addition he repeats important points while giving new material, you don't know when to ""have a rest""",his lectures make Ben Stein seem outgoing. Do not take this class unless it's a requirement or you absolutely love logic.
Y. Cimendereli,3.0,"Shi not that hard ngl. He says that u should read the textbook, but I didn't read a single page and I was chillin. The midterm and final was VERY fair. The study guide he gave for both HEAVILY reflects the test. HW was easy, if you use your resources. A 55% is a C and a 70% is a B-, but the 2 tests made up for 70% of your grade. HW costed hella tho",super sweet prof. if you don't understand lectures then ochem tutor vids got you. go to arc tutoring and office hours for help. do practice problems often. study the microtutorial problems. study for midterm and final. if you actually put good effort into this class you will get an A.,"One of the worst professors i've had in my two years in ucr. Class was very hard because it was mostly based on difficult exams. The average was around 50%, and he didn't curve. There were few chances to raise your grade with assignments. STAY AWAY FROM THIS PROFESSOR. With all due respect if you're happy with your mental health listen to me"
G. Lambert,5.0,"Dr. Lambert is clearly very passionate about WGS and her lectures were awesome! She encouraged class discussion and small group work, tried to make a big class feel very connected. There were a lot of readings every single day which were usually very dense, as well as frequent papers. Participate and pay attention during lectures, you will do well!",,
D. Morgan,4.6,Easy online class to take as long as you do all the quizzes and the discussions with responses due every week efficiently.,"Professor Morgan is engaging and holds very interesting lectures. Although lectures are not mandatory, the quizzes can sometimes have super lecture specific tricky questions. He is very reasonable and understanding with deadlines and course load. He is so knowledgable and just an overall amazing professor.","It is illogical to take any other professor when you have Morgan as an option. He is genuinely so funny, makes you feel seen in a big lecture, and it the material is so interesting. I had weekly homework quizzes and a few writing assignments but omg it was so so easy. Attendance isn't even mandatory but I still went any day"
H. Paakkunainen,4.2,"Approachable and caring and wants us to do well. do the hw, it's easy if you go to class (lowest 3 are dropped). Skill-focused 1 pagers are actually just a few lines. Only one essay at the end, quite easy (she likes precision and logical arguments over length) makes it easy for a non-major to understand philosophy concepts, love her!","Hille is super nice and truly cares. She definitely knows what she is talking about. Sometimes her lectures drag, and they do contain a lot of information, but, she posts them all on blackboard so if you missed something or don't feel like taking notes you can just look at them later. She will give random reading quizzes but they're 1 mc question.","Incredibly simple class. Just a few one-page papers, occasional 1 question reading quizzes, a final essay and a final test. Lectures aren't always the most exciting thing in the world, but they're not dreadful either. I don't see how anyone could justify failing this class."
M. Abreu Zavaleta,4.0,"He's a good professor. If you don't like math or never pass, come to him. He's Hispanic with a heavy accent but it's tolerable. Surprisingly knows his stuff, yk? It's a lot of online work on Pearson but we only took two TEN QUESTION tests and that's it. Attendance is mandatory and no phones. Not bad honestly. Just do what you have to do... wink.",,
J. Hunt,4.8,Josh was one of my favorite professors from last semester because he genuinely seemed to care about us as more than just a lecture hall. He learned every single persons name and allowed us to contribute to class as much or as little as we wanted. It's graded out of a point system so as long as you do the work you'll be fine.,"Josh Hunt is an excellent professor who clearly knows his subject matter and cares about the students in his class. Even though like 20 people in the entire lecture spoke up all semester, by midterms he knew everyones name which was impressive. THe class structure is great - completely open note exams and easy weekly online quizzes.",Josh is one of the coolest and most enthusiastic teachers I have ever met. the course is reading heavy you have take home quizzes and open-note midterm and final exam. The course is accessible to all and you can't fail even if you tired to. Josh remembered everyone's name in his big lecture and all the students felt encouraged and respected.
W. Bradley,4.0,"Absolutely would die for Professor Gorham! I did not miss a single lecture because they were so incredibly interesting. I loved everything about this course, but Professor Gorham truly makes the class so special.","Race and Gender in Sports Media... easy class. Everyone leads their own discussion. A few other assignments besides that. One easy exam. Took FOREVER to grade. But as long as you do a decent job, you'll end up with a good grade.","He took YEARS to grade our exams. Attendance at lectures isn't mandatory but if you go to he YAPS the whole time then we were two weeks behind in content. Quizzes are easy but he canceled half of them. He also pushed an entire project out for two weeks. Exams were in person closed note, but every other COM107 had open. Get ready to study."
K. Edwards,4.0,Great inspiring professor. The class is interesting if you like Philosophy. You will never leave a conversation wishing for more. From Kevan Edwards you get a genuine human who is trying to help you learn. what more can you ask for.,It would not let me select 401 so I chose 533. This professor was amazing and super nice and helpful. He was always available outside class for help. His main focus was just on helping students understand material rather. He always asked for feedback and wondered how he could be better.,"Take him for Philosophy. If your interested in this stuff you'll prob learn a lot. But its also a easy course if you don't care. Only a few papers for homework. He gives you all the questions that will be on the exam, all you need to do is answer them beforehand and memorize them. All notes are on Blackboard."
C. Noble,3.8,"Solid professor, however extremely dry at times. The class and movies are interesting enough to hold their own and definitely worth taking, however Noble as its instructor doesn't do much to make the material engaging. Can also be difficult to reach outside of class.",Knowledgeable and competent but about as dry as chalk. Lectures drag and he is pretty difficult to communicate with outside of class.,absolutely the worst class that I have taken.
J. Dowell,1.9,"Readings are gone over in depth in class, so it's not necessary to read everything. Papers are graded by TAs. Follow and answer prompts, lecture slides are . Lectures not tracked but really helpful for writing papers and understanding complex philosophical ideas, participation counts towards small part of grade. Slides are randomly posted/ updated","Readings are pretty unnecessary if you pay attention to lectures or just understand her posted lecture notes. She doesnt grade anything- only TAs, so make sure you know how they grade and follow prompts exactly. All essay based, no tests. Simple course just fairly uninteresting.","I don't think that this professor is as bad as other reviewers think. She was really passionate about the class topics which made the lectures enjoyable. There were a LOT of long readings but honestly, she goes through them all in class so you don't necessarily need to read them if you are understanding class. TA's does all of the grading."
N. Fonger,2.8,"Nicole's goal was to teach future teachers how to make accessible for all students. In the end, she taught us that we DO have the power throwing in drawn out explanations, assignments that don't replicate the teachings in class, diversity insensitive practice to those in the room that aren't white females. Culturally unaware of how she presented it",She goes way to fast throughout the lectures. She teaches the difficult way to her students but never teaches an easier way to understand the problem.,"Prof Fonger makes calc manageable and is a great prof. She is always available for extra help and cares about her students. Calc itself is not easy, but she tries to make it fun. Her notes are super organized, and she is excellent at explaining concepts. I also got a fantastic ta!! If you can take a class w/ her, do it - you won't regret it!"
S. Caviness,4.3,"She listens to your questions. she does everything she can to ensure that you understand what is being taught and takes the time to help you if you don't. Her assignments are tough but she will help and answer any questions she deems appropriate. If you pay attention, ask questions, do the work and actually try it'll be an easy A.",Professor Seale taught me a great deal over the course of my class. I believe I will be a better paralegal in the future thanks to her!,
B. Odiwuor,2.8,Brief introduction.,Useless knowledge. Inexplicable homework. Only TA helpful,1-Knowledgeable professor 2-Everyweek quiz and homework and those cause you to be prepared for exams 3-Helpful professor 4-Provide opportunities for extra scores with extra assignments 5-Good experience 6-I suggest you to get the course
J. Masingila,3.5,"If you need to take MAT 117, 100% take it with her. This class is confusing and a little challenging, however if you make an effort to constantly go to her office hours, it will make a huge difference. She really cared about her students and wanted us to do well. I wish I could take another one of her classes.",Prof Masingila did very well with making the course content comprehendable and was always willing to help when needed. She really does care about her students.,"I loved Professor Masinglia. I usually hate math, and struggle with it, but she made it enjoyable and easy. If you read the chapters and paid attention in class, it will be a breeze. I joined late, but due to her teaching style was able to understand the material I missed well enough. She always has office hours as well! I really enjoyed MAT 117."
R. Ayine,3.5,Prof Kabi is super fun and tries his best to make online classes entertaining and interactive. Would definitely take his class again!,"Easy class - he's a funny, quirky guy. You can do the minimum and do fine, or do extra and get a good grade. He's disorganized + relies on class discussion basically the entire time - almost no lecturing. He's flexible and a little out there but the case studies are interesting. A good way to bolster the GPA if you're willing to do a little extra",Professor Kabi was amazing - absolutely recommend his courses to anyone who has the opportunity. I've been using his teachings in my real job for over 3 years now. By far one of my most memorable professors at NYU.
M. Oluoch,5.0,"He's really good at explaining each lesson with clear, concrete examples. There weren't any lecture slides—everything was pretty much from the zyBook. Attendance isn't a big deal to him, so he won't nag you about showing up. I'd definitely recommend taking him.",,
"M. Mesanovic
M. Mesanovic",5.0,"He's really good at explaining each lesson with clear, concrete examples. There weren't any lecture slides—everything was pretty much from the zyBook. Attendance isn't a big deal to him, so he won't nag you about showing up. I'd definitely recommend taking him.",,
X. Au,1.7,"Professor Au can be tough, but if you put in the work, the class is manageable. I found Unstuck ai and the free textbook really helpful for study prep. Attend office hours and you'll do well.","Suanne is not a BAD professor, but it is extremely difficult to do well in her class due to her grading. It's a bit unfair that your grade is determined more by having her over other professors than by your understanding of the material.","Worst Professor ever. This is my first time rating a professor and it's because of her. Show up to the class every time even go to her office hour for 3-4 times. EXTREMELY NOT HELPFUL AT ALL!!!!!!!!!!! I still fail the quizzes, the lecture means nothing, can't understand a thing. If you like torture yourself go and take this class. GOOD LUCK."
X. Duan,3.7,"Mr. Marcy is a professor who clearly grew up with the technology that he's teaching. We learned the history, physics, and logic of semi-conductor devices, using FPGA boards and VHDL hardware design language for lab. For the last project, we implemented a primitive CPU based on Intel's original CPU (4004). Friday lab sucks, but he made it fun!","He's very knowledgeable of what he teaches and is more than willing to help you understand or troubleshoot a problem you're having. Having a strong coding background is really nice to have for this class. The class is very hands-on, it's crucial you try to understand what you're trying to accomplish. Overall, one of the best professors at SU.","Amazing professor. Really loves his field and is such a modernized professor. Very accessible outside of class, patient, and knowledgeable. If you are an engineer, definitely take his classes. It can be challenging but with the right group and dedicated hours after class, it is not impossible to pass. A blessing to Syracuse University!"
T. Kisakye,5.0,Professor Kisakye is a motivational and passionate Professor. He solves all assigned questions for weekly handouts. He motivated me to not drop the class and follow through.,,
J. Yu,1.7,"Avoid this professor at all costs, if I could I would give him a zero. After the first exam, my friend and I just stopped showing up and learned the class on our own... our grades went up. The strategy is to memorize the steps the practice exams, which are almost word for word copies of the real exams. This professor is truly ""Yuan in a Million"".",I'd rather watch paint dry than listen to a Yuan Yuan lecture. He is EXTREMELY boring. I didin't got to class the last 2 months of the semester because I was better off teaching myself. If YUAN'T a daily migrain you should attend his class in the morning.,Professor Yuan often reads directly from the slides and takes a while to explain concepts clearly. Decent amount of homework. Two fairly easy and straightforward midterm exams and weekly quizzes that were also simple. Go to class and office hours!
E. Downing,3.7,"Not exactly a course to remember. I switched to another school and was able to see a tremendous difference. This course should be renamed and presented as ""Ear training for singers"". Not recommended for musicians and instrumentalists. While I got a good grade compared to others, I did not particularly like the teaching methods or the material.",There is no technique taught in class. You're expected to do things on his level and his way only which is stupid considering that a subject like ear training is completely subjective and different for everyone. He shows favoritism and spends most of the class telling stories. He needs to be evaluated because this class is least productive.,"Ear Training should be a fun class. This class felt like chewing glass. It accounts only for one credit, and you will need to work ten times more just to barely make it. Professor Downing is very arbitrary and puts people on the spot. Most students find the experience humiliating and either withdraw, change majors or transfer to another school."
R. Margrey,4.2,So easy to get an A. Open note exams and opportunities for extra credit on all homework. Didn't do the last unit of homework and still got over 100 in this class. He's so sweet and always willing to help.,"lectures are not mandatory. if you complete the homework by a certain date you will get extra credit. easiest class at SU, def would take again",Genuinely hard to not get an A. Every test is exactly what's on the study guide and he gives answers to each study guide. Also you get formulas on each test. Weekly online homework that if you do early is extra credit added onto your grade each unit. One of the easiest math classes I've ever taken. Love this man
